Country,Year,Total_CO2_Mt,GDP_USD
China,1973,1013.6613700050001,138764000000
China,1974,1031.209354692,144418000000
China,1975,1182.5985839470002,163688000000
China,1976,1230.6257310619999,154197000000
China,1977,1383.522209888,175227000000
China,1978,1559.4211641890004,149789000000
China,1979,1597.3527975590002,178574000000
China,1980,1563.216180293,191488000000
China,1981,1549.1033744989998,196218000000
China,1982,1619.3245148950002,205481000000
China,1983,1704.076593343,231130000000
China,1984,1858.5479074660002,260443000000
China,1985,1878.475240709,310065000000
China,1986,1994.733635956,301310000000
China,1987,2133.278225638,273455000000
China,1988,2293.5825903130003,312889000000
China,1989,2372.0945932470004,348381000000
China,1990,2414.2797992280002,361560000000
China,1991,2550.19929077,384510000000
China,1992,2669.780936146,428502000000
China,1993,2890.2011398070003,446557000000
China,1994,3046.95172665,566930000000
China,1995,3365.8146897680003,738191000000
China,1996,3340.302238761,868524000000
China,1997,3437.3624193109995,967754000000
China,1998,3522.102922651,1037130000000
China,1999,3447.8800857040005,1103840000000
China,2000,3666.9510490769994,1223750000000
China,2001,3844.83566959,1355040000000
China,2002,4150.577954228001,1489820000000
China,2003,4790.864417746,1683900000000
China,2004,5520.7368928,1984200000000
China,2005,6264.745297703,2317550000000
China,2006,6951.946758184001,2791500000000
China,2007,7555.48799167,3604060000000
China,2008,7783.426400170999,4667350000000
China,2009,8349.805115531,5189580000000
China,2010,9134.072391982,6192560000000
China,2011,9984.472455999,7671760000000
China,2012,10297.904977589002,8673660000000
China,2013,10792.138421939,9743120000000
China,2014,10916.922761234002,10674500000000
China,2015,10776.912733993,11280800000000
China,2016,10805.051460133,11456000000000
China,2017,11037.127068063,12537600000000
China,2018,11572.416381745,14147800000000
China,2019,11850.592875049,14560200000000
China,2020,12022.432961806999,14996400000000
China,2021,12621.614749839999,18201700000000
China,2022,12526.826279483,18316800000000
China,2023,13259.638954371001,18270400000000
India,1973,221.93731390300002,85517673173
India,1974,237.640938833,99526597934
India,1975,253.20170230399998,98473832017
India,1976,270.69357773199994,102716000000
India,1977,276.021826395,121487000000
India,1978,271.347043708,137302000000
India,1979,291.73320862900005,152995000000
India,1980,303.57649489399995,186329000000
India,1981,333.988474696,193491000000
India,1982,351.90375432900004,200716000000
India,1983,374.597335217,218262000000
India,1984,412.861703286,212158000000
India,1985,431.411784862,232512000000
India,1986,468.59789983999997,248986000000
India,1987,501.4340692,279034000000
India,1988,532.2985792999999,296590000000
India,1989,570.12434833,296042000000
India,1990,600.68729862,320979000000
India,1991,646.38884342,270105000000
India,1992,669.6642222099999,288208000000
India,1993,699.75623617,279296000000
India,1994,743.8583462700001,327275000000
India,1995,796.4638742,360282000000
India,1996,833.5119894999999,392897000000
India,1997,877.70654676,415868000000
India,1998,900.6254784199999,421351000000
India,1999,961.6310906,458821000000
India,2000,995.6525627299999,468396000000
India,2001,1011.8046666500001,485440000000
India,2002,1049.88012101,514939000000
India,2003,1081.78522947,607701000000
India,2004,1166.81661123,709153000000
India,2005,1216.5339379299999,820384000000
India,2006,1298.3951033,940260000000
India,2007,1413.86478824,1216740000000
India,2008,1503.61106553,1198900000000
