Country,Region,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2022
China,East Asia,"1,63,42,95,30,659.6","3,06,16,53,14,855.8","3,09,83,58,03,013.6","3,94,56,57,47,349.1","7,34,48,48,34,573.6","12,11,33,16,51,829.9","22,85,96,11,49,904.3","60,87,19,17,46,738.6","1,10,61,57,26,18,594.8","1,46,87,74,41,62,801.0","1,79,63,17,14,79,205.3"
Japan,East Asia,"5,32,86,14,38,884.7","11,29,37,72,44,854.0","14,27,01,97,59,717.4","31,85,90,46,56,663.9","55,45,56,36,63,889.7","49,68,35,90,75,956.6","48,31,46,70,35,389.8","57,59,07,17,69,013.1","44,44,93,06,51,964.2","50,48,78,95,95,589.4","42,32,17,39,16,086.7"
South Korea,East Asia,"21,78,42,97,520.7","65,39,83,77,597.5","1,01,29,61,77,099.4","2,83,36,58,44,161.1","5,66,58,10,03,128.2","5,76,17,93,87,819.6","9,34,90,10,71,333.0","11,43,67,22,41,149.7","14,66,03,89,36,206.4","16,44,31,28,31,906.2","16,73,91,64,69,026.6"
North Korea,East Asia,,,,,,,,,"16,28,00,00,000","18,08,00,00,000","18,23,00,00,000"
Hong Kong SAR,East Asia,"10,04,80,89,558.1","28,86,18,57,810.7","35,69,97,72,165.7","76,92,87,84,620.8","1,44,65,22,95,363.7","1,71,66,88,91,194.3","1,81,56,93,11,742.2","2,28,63,86,68,727.3","3,09,38,56,22,601.3","3,44,94,31,49,590.1","3,59,83,85,83,490.1"
Macau SAR,East Asia,,,"1,36,20,72,159.9","3,24,64,81,233.2","7,04,61,47,736.9","6,77,41,93,548.4","12,16,00,56,122.4","28,24,17,98,491.6","45,04,81,90,598.3","25,34,35,25,935.8","24,04,22,87,326.6"
Taiwan,East Asia,"15,74,70,00,000","42,28,50,00,000","63,61,70,00,000","1,66,62,20,00,000","2,79,05,90,00,000","3,30,68,00,00,000","3,74,06,00,00,000","4,44,28,10,00,000","5,34,51,50,00,000","6,76,86,10,00,000","7,65,62,40,00,000"
Mongolia,East Asia,,,"2,18,65,05,475.0","2,56,07,85,660.0","1,45,21,65,005.2","1,13,68,96,123.6","2,52,34,71,601.1","7,18,94,81,998.9","11,61,98,92,590.7","13,31,29,81,429.1","17,14,64,71,626.4"
India,South Asia,"98,47,27,96,456.9","1,86,32,53,45,086.7","2,32,51,15,54,840.4","3,20,97,90,26,420.0","3,60,28,19,09,643.5","4,68,39,49,37,255.8","8,20,38,15,95,510.6","16,75,61,55,19,489.4","21,03,58,83,60,066.3","26,71,59,54,05,986.9","34,16,64,58,26,052.9"
Pakistan,South Asia,"11,23,06,06,060.6","23,65,44,44,444.4","31,14,49,20,844.3","40,01,04,23,970.5","60,63,60,71,684.2","99,48,48,02,344.5","1,45,20,85,62,960.8","1,96,70,96,21,849.6","2,99,96,35,90,534.8","3,00,42,56,09,818.0","3,74,69,73,66,359.2"
Bangladesh,South Asia,"19,44,83,48,073.5","24,77,50,00,000","22,27,84,23,076.9","31,59,83,40,778.2","37,93,97,48,768.7","53,36,97,87,318.6","69,44,29,43,089.4","1,15,27,90,77,465.2","1,95,07,85,73,252.2","3,73,90,21,97,869.2","4,60,20,12,65,528.0"
Afghanistan,South Asia,"2,36,66,66,615.6","3,64,17,23,322.0","3,32,20,00,000","3,62,20,00,000","3,23,60,00,000","3,52,10,00,000","6,20,32,56,497.1","15,85,66,68,496.4","19,13,42,21,744.5","19,95,59,29,060.8","14,50,00,00,000"
Bhutan,South Asia,,"12,86,69,200.9","16,32,88,815.3","28,77,65,007.1","29,04,90,983.8","42,44,48,931.0","79,69,38,572.0","1,54,79,90,911.6","2,00,35,96,838.8","2,45,76,04,042.8","2,45,76,04,042.8"
