Country,Year,Total_CO2,GDP,Carbon_Intensity
China,1975,339536778.50032395,163429530659.6,0.002077572988981592
China,1990,575616156.0781116,394565747349.1,0.0014588599237146242
China,2000,918107339.0726184,1211331651829.9,7.579322621395042e-4
China,2005,1475804922.3306646,2285961149904.3,6.45594927277066e-4
China,2010,1880304921.1291177,6087191746738.6,3.0889530005959626e-4
China,2015,2056555707.7020674,11061572618594.8,1.8591892659502519e-4
China,2020,2109318069.255971,14687744162801,1.4361075777709605e-4
China,2022,2172555328.779853,17963171479205.3,1.2094497518407967e-4
India,1975,58676237.18824918,98472796456.9,5.958624036226173e-4
India,1990,127057633.45346156,320979026420,3.958440365109933e-4
India,2000,194148493.42515275,468394937255.8,4.14497420835965e-4
India,2005,227933428.3780555,820381595510.6,2.778383006461661e-4
India,2010,310007815.3577805,1675615519489.4,1.8501130584672987e-4
India,2015,349361431.57153255,2103588360066.3,1.6607880049332538e-4
India,2020,346276788.6962311,2671595405986.9,1.2961423272410324e-4
India,2022,399706753.69786906,3416645826052.9,1.1698805613680848e-4
Indonesia,1975,14838047.450907651,30463855421.7,4.8707057086209185e-4
Indonesia,1990,55246602.843652345,106140727333.6,5.205033377057275e-4
Indonesia,2000,98459230.57575186,165021012077.8,5.966466290325063e-4
Indonesia,2005,119453336.00510736,285868619196.1,4.178609612381583e-4
Indonesia,2010,151085405.57928476,755094157621.9,2.0008816656072988e-4
Indonesia,2015,141073034.70545837,860854232686.2,1.6387563579173636e-4
Indonesia,2020,143575393.07511842,1059054842698.5,1.3556936551962172e-4
Indonesia,2022,164787904.9129554,1319100220407.7,1.249244768240761e-4
Japan,1975,330908978.4846083,532861438884.7,6.210038001196218e-4
Japan,1990,384563146.21106434,3185904656663.9,1.2070767573244242e-4
Japan,2000,403459068.3078173,4968359075956.6,8.120569832810161e-5
Japan,2005,414944704.50605106,4831467035389.8,8.588379087896924e-5
Japan,2010,399104977.3187692,5759071769013.1,6.930022637782853e-5
Japan,2015,403782064.4568753,4444930651964.2,9.084102679497269e-5
Japan,2020,344295124.614113,5048789595589.4,6.819359731585718e-5
Japan,2022,349883932.76158375,4232173916086.7,8.267239005270029e-5
South Korea,1975,35745555.63447279,21784297520.7,0.0016408863127446015
South Korea,1990,92923285.80914499,283365844161.1,3.2792691047237146e-4
South Korea,2000,125061911.49420002,576179387819.6,2.1705377550464635e-4
South Korea,2005,119486506.26537417,934901071333,1.2780657753981177e-4
South Korea,2010,127991303.08724645,1143672241149.7,1.1191257292262385e-4
South Korea,2015,133400372.50947767,1466038936206.4,9.099374458271317e-5
South Korea,2020,135053246.10260445,1644312831906.2,8.213354751117613e-5
South Korea,2022,141926877.36892167,1673916469026.6,8.478731167001041e-5
