Country,Year,Total_CO2_Mt,GDP_USD
China,1973,1013.6613700050001,138543170458.1
China,1974,1031.209354692,144188970821.1
China,1975,1182.5985839470002,163429530659.6
China,1976,1230.6257310619999,153939265947.8
China,1977,1383.522209888,174935933078.7
China,1978,1559.4211641890004,218502169137.6
China,1979,1597.3527975590002,263711728825
China,1980,1563.216180293,306165314855.8
China,1981,1549.1033744989998,289576581830.4
China,1982,1619.3245148950002,283928672988.1
China,1983,1704.076593343,304748904221.3
China,1984,1858.5479074660002,313728547706.9
China,1985,1878.475240709,309835803013.6
China,1986,1994.733635956,300514204521
China,1987,2133.278225638,327089403146.1
China,1988,2293.5825903130003,407844670393.1
China,1989,2372.0945932470004,456289122063.2
China,1990,2414.2797992280002,394565747349.1
China,1991,2550.19929077,413375445354.5
China,1992,2669.780936146,493136961883
China,1993,2890.2011398070003,619111946511.6
China,1994,3046.95172665,564321854521
China,1995,3365.8146897680003,734484834573.6
China,1996,3340.302238761,863749314718.5
China,1997,3437.3624193109995,961601980984.6
China,1998,3522.102922651,1029060747620.7
China,1999,3447.8800857040005,1094010482677.4
China,2000,3666.9510490769994,1211331651829.9
China,2001,3844.83566959,1339400897153.4
China,2002,4150.577954228001,1470557654824.1
China,2003,4790.864417746,1660280543870.9
China,2004,5520.7368928,1955346768757.6
China,2005,6264.745297703,2285961149904.3
China,2006,6951.946758184001,2752118657221.6
China,2007,7555.48799167,3550327803024.7
China,2008,7783.426400170999,4594336785752.1
China,2009,8349.805115531,5101691124358.4
China,2010,9134.072391982,6087191746738.6
China,2011,9984.472455999,7551545703518.1
China,2012,10297.904977589002,8532185381696.4
China,2013,10792.138421939,9570471111847.8
China,2014,10916.922761234002,10475624944290.1
China,2015,10776.912733993,11061572618594.8
China,2016,10805.051460133,11233313730288.5
China,2017,11037.127068063,12310491333980.9
China,2018,11572.416381745,13894907857925.9
China,2019,11850.592875049,14279968506242.8
China,2020,12022.432961806999,14687744162801
China,2021,12621.614749839999,17820459508852.2
China,2022,12526.826279483,17963171479205.3
China,2023,13259.638954371001,18270000000000
India,1973,221.93731390300002,85515269585.4
India,1974,237.640938833,99525899116.1
India,1975,253.20170230399998,98472796456.9
India,1976,270.69357773199994,102717164466.4
India,1977,276.021826395,121486641441.3
India,1978,271.347043708,137300295313.3
India,1979,291.73320862900005,152991653793.8
India,1980,303.57649489399995,186325345086.7
India,1981,333.988474696,193491368445.6
India,1982,351.90375432900004,200715624830.9
India,1983,374.597335217,218262146413.2
India,1984,412.861703286,212157645177.7
India,1985,431.411784862,232511554840.4
India,1986,468.59789983999997,248985994040.6
India,1987,501.4340692,279033584092.2
India,1988,532.2985792999999,296589670895.9
India,1989,570.12434833,296042052944.7
India,1990,600.68729862,320979026420
India,1991,646.38884342,270105341879.2
India,1992,669.6642222099999,288208070278
India,1993,699.75623617,279295648982.5
India,1994,743.8583462700001,327275583530
India,1995,796.4638742,360281909643.5
India,1996,833.5119894999999,392896866204.5
India,1997,877.70654676,415867563592.8
India,1998,900.6254784199999,421351317224.9
India,1999,961.6310906,458820417337.8
India,2000,995.6525627299999,468394937255.8
India,2001,1011.8046666500001,485441014538.6
India,2002,1049.88012101,514937948874.2
India,2003,1081.78522947,607699285436
India,2004,1166.81661123,709148514815.8
India,2005,1216.5339379299999,820381595510.6
India,2006,1298.3951033,940259888794.4
India,2007,1413.86478824,1216736438842.4
India,2008,1503.61106553,1198895139014.6
India,2009,1643.06474741,1341888016984.4
India,2010,1743.69289107,1675615519489.4
India,2011,1850.3318538,1823051829900.8
India,2012,2022.76478165,1827637590787.2
India,2013,2083.21092688,1856721507681.1
India,2014,2242.8409379600002,2039126479228.1
India,2015,2260.13141966,2103588360066.3
India,2016,2303.36190778,2294796885682.5
India,2017,2433.7830815300003,2651474262735.3
India,2018,2573.11940194,2702929641707.4
India,2019,2542.03507586,2835606256616
India,2020,2318.9476650799998,2671595405986.9
India,2021,2548.4832645,3150306839142.1
India,2022,2740.82063114,3416645826052.9
India,2023,2955.1816844,3640000000000
Indonesia,1973,42.010228858,16273253012
Indonesia,1974,46.93887423999999,25802409638.6
Indonesia,1975,48.77196894200001,30463855421.7
Indonesia,1976,52.504517318999994,37269156626.5
Indonesia,1977,71.776260434,45808915662.7
Indonesia,1978,84.44430977,51455719075.8
Indonesia,1979,90.893575783,51400186342.9
Indonesia,1980,90.57355268600001,72482337397.4
Indonesia,1981,95.63296520699998,85518233419
Indonesia,1982,96.37643025,90158449295
Indonesia,1983,95.39672077600001,1345824500836.8
Indonesia,1984,97.61953589199999,84853700027.7
Indonesia,1985,106.01721789999999,85289488375.4
Indonesia,1986,117.08266893300001,79954072544.5
Indonesia,1987,120.194242319,75929617557.8
Indonesia,1988,128.647458084,84300174485.8
Indonesia,1989,134.49423084599997,94451427876.7
Indonesia,1990,161.77824519100002,106140727333.6
Indonesia,1991,174.66418879199998,116621996217.1
Indonesia,1992,182.556416167,128026966580
Indonesia,1993,199.85333123,158006700301.5
Indonesia,1994,212.745129093,176892143931.5
Indonesia,1995,239.103023594,202132028723.1
Indonesia,1996,252.01931914999997,227369679375
Indonesia,1997,275.537288605,215748998609.6
Indonesia,1998,278.258536722,95445547872.7
Indonesia,1999,295.27320290299997,140001351215.5
Indonesia,2000,299.092297815,165021012077.8
Indonesia,2001,319.583812525,160446947784.9
Indonesia,2002,324.964813847,195660611165.2
Indonesia,2003,353.63870576000005,234772463823.8
Indonesia,2004,360.16500062800003,256836875295.5
Indonesia,2005,362.607533644,285868619196.1
Indonesia,2006,383.43390691600007,364570515618.4
Indonesia,2007,401.88161884900006,432216737774.9
Indonesia,2008,397.27657227099996,510228634990.6
Indonesia,2009,411.374383593,539580085616.5
Indonesia,2010,443.705528942,755094157621.9
Indonesia,2011,499.96804067500005,892969104563.2
Indonesia,2012,504.271808389,917869913332.6
Indonesia,2013,474.97926090500005,912524136718
Indonesia,2014,505.15468988199996,890814755533.5
Indonesia,2015,512.407375168,860854232686.2
Indonesia,2016,507.076768536,931877364037.7
Indonesia,2017,535.7171612679999,1015618744159.7
Indonesia,2018,597.4766918619999,1042271532988.6
Indonesia,2019,637.31007248,1119099871350.2
Indonesia,2020,594.263382837,1059054842698.5
Indonesia,2021,619.327411971,1186505455736.5
Indonesia,2022,656.6692022889999,1319100220407.7
Indonesia,2023,674.5359385260001,1370000000000
Japan,1973,1006.6244834429999,441460582535.9
Japan,1974,1003.188155492,490035789970.3
Japan,1975,948.6801428939999,532861438884.7
Japan,1976,980.7331501819999,598883902155.6
Japan,1977,1005.778875118,737069290927.7
Japan,1978,1006.3740618600001,1035611588216.6
Japan,1979,1030.1440454610001,1077910077676.4
Japan,1980,1003.143377635,1129377244854
Japan,1981,981.585538874,1245221410764.1
Japan,1982,939.7607266109999,1158731426905.9
Japan,1983,943.2447069609999,1270859919742.9
Japan,1984,1011.0487544709999,1345824500836.8
Japan,1985,983.4576312179998,1427019759717.4
Japan,1986,980.480030774,2120083812109.9
Japan,1987,987.784010962,2580748422781.1
Japan,1988,1060.668079954,3125724434400.8
Japan,1989,1090.49425571,3109455047823.9
Japan,1990,1166.8237072209997,3185904656663.9
Japan,1991,1176.8604262579997,3648065760648.9
Japan,1992,1181.8812285669999,3980702922117.7
Japan,1993,1174.7455440190001,4536940479038.2
Japan,1994,1227.960950897,4998797547741
Japan,1995,1238.639846235,5545563663889.7
Japan,1996,1251.4623747950002,4923391533851.6
Japan,1997,1236.9538541929999,4492448605638.9
Japan,1998,1189.763730295,4098362709531.2
Japan,1999,1230.727460623,4635982224063.9
Japan,2000,1248.806756862,4968359075956.6
Japan,2001,1235.2221427250001,4374711694090.9
Japan,2002,1269.429486566,4182846045873.6
Japan,2003,1276.711258868,4519561645253.5
Japan,2004,1271.384113383,4893116005656.6
Japan,2005,1283.017649304,4831467035389.8
Japan,2006,1260.299180857,4601663122649.9
Japan,2007,1296.250717524,4579750920354.8
Japan,2008,1224.9592792140002,5106679115127.3
Japan,2009,1161.412058742,5289493117993.9
Japan,2010,1220.453498535,5759071769013.1
Japan,2011,1273.345496298,6233147172341.3
Japan,2012,1311.299788129,6272362996105
Japan,2013,1326.7101047659999,5212328181166.2
Japan,2014,1276.2554870689999,4896994405353.3
Japan,2015,1235.418673651,4444930651964.2
Japan,2016,1232.876857084,5003677627544.2
Japan,2017,1217.8484292560001,4930837369151.4
Japan,2018,1179.217637155,5040880939324.9
